clock size totalCells totalEnergy totalActiveCells percentActive totalViableReplicators maxGeneration viableCellsReplaced viableCellsKilled viableCellsShares ZERO FWD BACK INC DEC READG WRITEG READB WRITEB LOOP REP TURN XCHG KILL SHARE STOP averageExecutionFrequency averageMetabolism
1 330x427 140910 0 0 0.0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
clock size totalCells totalEnergy totalActiveCells percentActive totalViableReplicators maxGeneration viableCellsReplaced viableCellsKilled viableCellsShares ZERO FWD BACK INC DEC READG WRITEG READB WRITEB LOOP REP TURN XCHG KILL SHARE STOP averageExecutionFrequency averageMetabolism
1 640x480 307200 0 0 0.0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
100001 640x480 307200 7755687 1062 0.34570312 0 1 0 0 0 0.05722 0.08177 0.0649 0.04414 0.08901 0.0493 0.03963 0.10106 0.02899 0.23859 0.23703 0.08318 0.06405 0.02794 0.07441 0.00149 1.28271 
clock size totalCells totalEnergy totalActiveCells percentActive totalViableReplicators maxGeneration viableCellsReplaced viableCellsKilled viableCellsShares ZERO FWD BACK INC DEC READG WRITEG READB WRITEB LOOP REP TURN XCHG KILL SHARE STOP averageExecutionFrequency averageMetabolism
1 330x427 140910 0 0 0.0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
clock size totalCells totalEnergy totalActiveCells percentActive totalViableReplicators maxGeneration viableCellsReplaced viableCellsKilled viableCellsShares ZERO FWD BACK INC DEC READG WRITEG READB WRITEB LOOP REP TURN XCHG KILL SHARE STOP averageExecutionFrequency averageMetabolism
1 640x480 307200 0 0 0.0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
100001 640x480 307200 8001716 1071 0.3486328 0 1 0 0 0 0.01978 0.0342 0.0503 0.01993 0.04263 0.04783 0.06114 0.10177 0.03794 0.29571 0.29592 0.02792 0.00652 0.03526 0.04436 0.00149 1.1227 
clock size totalCells totalEnergy totalActiveCells percentActive totalViableReplicators maxGeneration viableCellsReplaced viableCellsKilled viableCellsShares ZERO FWD BACK INC DEC READG WRITEG READB WRITEB LOOP REP TURN XCHG KILL SHARE STOP averageExecutionFrequency averageMetabolism
1 640x480 307200 0 0 0.0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
100001 640x480 307200 7916361 1058 0.34440103 0 1 0 0 0 0.00856 0.02624 0.00785 0.00467 0.00827 0.02839 0.00743 0.02158 0.01178 0.09914 0.09899 0.01062 0.00124 0.01156 0.04719 0.00134 0.39485 
200001 640x480 307200 15584896 2215 0.7210286 0 1 0 0 0 0.08979 0.05549 0.06067 0.11051 0.09163 0.06645 0.16415 0.06592 0.0774 0.63002 0.62248 0.06537 0.04459 0.09429 0.08694 0.00461 2.33031 
300001 640x480 307200 23069854 3447 1.1220703 0 1 0 0 0 0.14626 0.19627 0.17663 0.17175 0.12052 0.16967 0.15712 0.26362 0.19077 1.007 0.97963 0.12944 0.16273 0.10437 0.19432 0.0085 4.1786 
400001 640x480 307200 30763820 4695 1.5283203 0 1 0 0 0 0.17777 0.14801 0.19025 0.17586 0.14721 0.24041 0.23629 0.29241 0.17676 1.26239 1.24136 0.18162 0.15546 0.11783 0.25582 0.01188 5.01133 
500001 640x480 307200 38125161 6042 1.9667969 0 1 0 0 0 0.15883 0.32148 0.25769 0.25322 0.31692 0.33817 0.26232 0.36504 0.18741 1.64284 1.62129 0.23848 0.16886 0.22686 0.19583 0.01668 6.57192 
600001 640x480 307200 45529897 7417 2.414388 0 2 0 0 0 0.20066 0.21175 0.21565 0.15134 0.2245 0.18 0.23001 0.27521 0.14437 1.46491 1.44485 0.13247 0.29443 0.17657 0.14627 0.02079 5.51378 
